call,node_depth,var,score,num_candidates,time
108,33,t_x_15,0.3268669079888928,31,4.961260
109,34,t_x_22,0.32643339157926643,30,4.993203
110,35,t_x_369,0.3257086592576262,29,5.024741
111,36,t_x_366,0.32490447930058935,28,5.046169
112,5,t_x_233,0.37287977458525207,445,5.107240
113,6,t_x_84,0.37220052237281115,91,5.298784
114,7,t_x_82,0.3697496709659753,90,5.353732
115,6,t_x_84,0.37220052237281115,444,5.430764
116,7,t_x_82,0.3697496709659753,105,5.620868
117,8,t_x_88,0.36565753033657356,47,5.665491
118,9,t_x_89,0.3418552133182626,29,5.692672
119,10,t_x_76,0.3397542609479636,28,5.711013
120,11,t_x_83,0.3381592926679389,27,5.741507
121,12,t_x_77,0.33679519038950717,26,5.771584
122,7,t_x_174,0.37049791032211843,443,5.842539
123,8,t_x_193,0.36797974847648585,103,6.027015
124,9,t_x_88,0.36565753033657356,102,6.087018
125,8,t_x_82,0.3697496709659753,442,6.171659
126,9,t_x_334,0.3669507080339,115,6.385014
127,10,t_x_401,0.36639890123245006,114,6.452946
128,9,t_x_193,0.36797974847648585,441,6.537836
129,10,t_x_197,0.345730583707959,85,6.723655
130,11,t_x_98,0.3410733321474508,84,6.777254
131,10,t_x_334,0.3669507080339,440,6.856455
132,11,t_x_360,0.36397443758978015,99,7.045812
133,12,t_x_413,0.3576240767639526,98,7.110614
134,11,t_x_401,0.36639890123245006,439,7.195452
135,12,t_x_413,0.3576240767639526,54,7.362694
136,13,t_x_25,0.3388881960489056,53,7.404479
137,12,t_x_88,0.36565753033657356,438,7.471729
138,13,t_x_360,0.36397443758978015,114,7.681950
139,14,t_x_335,0.35159119477102835,113,7.752264
140,13,t_x_360,0.36397443758978015,437,7.837196
141,14,t_x_76,0.3397542609479636,73,8.005867
142,15,t_x_25,0.3388881960489056,72,8.055494
143,14,t_x_355,0.3604684222607647,436,8.127985
144,15,t_x_197,0.345730583707959,68,8.310719
145,16,t_x_365,0.3384154625966223,67,8.358752
146,15,t_x_117,0.3601698291273393,435,8.412361
147,16,t_x_118,0.3562705793325379,57,8.586311
148,17,t_x_108,0.3520113921409134,30,8.617603
149,16,t_x_137,0.35830898523701915,434,8.674975
150,17,t_x_288,0.35556806203507985,86,8.843722
151,18,t_x_197,0.345730583707959,85,8.899396
152,18,t_x_26,0.33710634432496456,29,8.934192
153,19,t_x_159,0.3369646913562073,28,8.954359
154,17,t_x_413,0.3576240767639526,433,9.009412
155,18,t_x_335,0.35159119477102835,89,9.190812
156,19,t_x_76,0.3397542609479636,88,9.248699
157,18,t_x_438,0.3565528845738105,432,9.305976
158,19,t_x_170,0.33769692936302953,66,9.473324
159,20,t_x_407,0.3335813800840952,65,9.521664
160,19,t_x_118,0.3562705793325379,431,9.591931
161,20,t_x_108,0.3520113921409134,47,9.744629
162,21,t_x_26,0.33710634432496456,46,9.780913
