instance,solver,runtime,timeout,return_code
exact_001,uzl,0.1147876619361341,0,0
exact_002,uzl,0.1648366739973426,0,0
exact_003,uzl,62.69507949613035,0,0
exact_004,uzl,105.83007610403001,0,0
exact_005,uzl,19.054139454849064,0,0
exact_006,uzl,0.36508646607398987,0,0
exact_007,uzl,55.37213170202449,0,0
exact_008,uzl,0.21463712118566036,0,0
exact_009,uzl,48.13863219320774,0,0
exact_010,uzl,37.23566831694916,0,0
exact_011,uzl,0.11437220172956586,0,0
exact_012,uzl,0.6658442011103034,0,0
exact_013,uzl,0.11445472808554769,0,0
exact_014,uzl,38.23564424691722,0,0
exact_015,uzl,60.98229392524809,0,0
exact_016,uzl,0.21480903401970863,0,0
exact_017,uzl,42.247868242207915,0,0
exact_018,uzl,0.11392450286075473,0,0
exact_019,uzl,0.16439031716436148,0,0
exact_020,uzl,66.84492873819545,0,0
exact_021,uzl,11.134715158026665,0,0
exact_022,uzl,33.21463879104704,0,0
exact_023,uzl,17.147272188216448,0,0
exact_024,uzl,0.21437060087919235,0,0
exact_025,uzl,0.4647983768954873,0,0
exact_026,uzl,46.33974666520953,0,0
exact_027,uzl,1.1654458018019795,0,0
exact_028,uzl,13.340346452780068,0,0
exact_029,uzl,27.615333997644484,0,0
exact_030,uzl,32.8818739047274,0,0
exact_031,uzl,0.314698938280344,0,0
exact_032,uzl,0.9161650571040809,0,0
exact_033,uzl,44.70563183678314,0,0
exact_034,uzl,0.16448230994865298,0,0
exact_035,uzl,29.323899266775697,0,0
exact_036,uzl,0.3145561912097037,0,0
exact_037,uzl,16.144536181818694,0,0
exact_038,uzl,0.03224092908203602,0,0
exact_039,uzl,14.189560230821371,0,0
exact_040,uzl,45.2804136169143,0,0
exact_041,uzl,19.757131366059184,0,0
exact_042,uzl,0.364934790879488,0,0
exact_043,uzl,249.1105042649433,0,0
exact_044,uzl,12.632487103808671,0,0
exact_045,uzl,20.852531447075307,0,0
exact_046,uzl,0.3645463027060032,0,0
exact_047,uzl,119.93274447508156,0,0
exact_048,uzl,1.1664614668115973,0,0
exact_049,uzl,11.788053347729146,0,0
exact_050,uzl,27.460153822321445,0,0
exact_051,uzl,1.5673906449228525,0,0
exact_052,uzl,0.814962409902364,0,0
exact_053,uzl,37.438449275214225,0,0
exact_054,uzl,0.314211152959615,0,0
exact_055,uzl,10.276896585244685,0,0
exact_056,uzl,63.457711124792695,0,0
exact_057,uzl,42.10002760915086,0,0
exact_058,uzl,0.16456270078197122,0,0
exact_059,uzl,30.77634597569704,0,0
exact_060,uzl,37.49061282305047,0,0
exact_061,uzl,0.015822259709239006,0,0
exact_062,uzl,0.015715119894593954,0,0
exact_063,uzl,17.13995923474431,0,0
exact_064,uzl,29.97170183621347,0,0
exact_065,uzl,0.11414508614689112,0,0
exact_066,uzl,0.1642775358632207,0,0
exact_067,uzl,55.875562452711165,0,0
exact_068,uzl,0.11434542294591665,0,0
exact_069,uzl,40.24476152472198,0,0
exact_070,uzl,1.5170434527099133,0,0
exact_071,uzl,126.64863444492221,0,0
exact_072,uzl,28.5713369701989,0,0
exact_073,uzl,0.11410571308806539,0,0
exact_074,uzl,33.15535274706781,0,0
exact_075,uzl,33.314129427075386,0,0
exact_076,uzl,45.43130276724696,0,0
exact_077,uzl,0.11419120291247964,0,0
exact_078,uzl,28.563999601174146,0,0
exact_079,uzl,0.1642444939352572,0,0
exact_080,uzl,0.3145399601198733,0,0
exact_081,uzl,61.216005594003946,0,0
exact_082,uzl,0.11433234810829163,0,0
exact_083,uzl,0.11429940583184361,0,0
exact_084,uzl,11.483612045645714,0,0
exact_085,uzl,0.21418970171362162,0,0
exact_086,uzl,36.52332839695737,0,0
exact_087,uzl,34.36423878883943,0,0
exact_088,uzl,23.748143423814327,0,0
exact_089,uzl,23.300917267799377,0,0
exact_090,uzl,15.635387889109552,0,0
exact_091,uzl,49.84335790015757,0,0
exact_092,uzl,5.571937321685255,0,0
exact_093,uzl,41.56618472794071,0,0
exact_094,uzl,29.19938934314996,0,0
exact_095,uzl,0.11436687223613262,0,0
exact_096,uzl,10.62821675511077,0,0
exact_097,uzl,27.296012280974537,0,0
exact_098,uzl,0.46523011662065983,0,0
exact_099,uzl,0.21463220100849867,0,0
exact_100,uzl,39.31448125001043,0,0
