var,mwua_certainty,frac_freq,stability,fix1_freq,fix0_freq
0,1.0,0.01818181818181818,0.8571428571428572,0.43636363636363634,0.05454545454545454
10,1.0,0.03636363636363636,0.7931034482758621,0.41818181818181815,0.07272727272727272
24,0.8666666666666669,0.18181818181818182,0.45945945945945943,0.3090909090909091,0.18181818181818182
13,0.8666666666666669,0.09090909090909091,0.625,0.36363636363636365,0.12727272727272726
29,0.8666666666666669,0.07272727272727272,0.6774193548387096,0.38181818181818183,0.10909090909090909
25,0.7333333333333336,0.2,0.42105263157894735,0.2909090909090909,0.2
1,0.7333333333333336,0.2909090909090909,0.37209302325581395,0.2,0.2909090909090909
2,0.7333333333333336,0.2909090909090909,0.37209302325581395,0.2,0.2909090909090909
19,0.7333333333333336,0.23636363636363636,0.35000000000000003,0.2545454545454545,0.23636363636363636
17,0.7333333333333336,0.21818181818181817,0.358974358974359,0.2545454545454545,0.23636363636363636
4,0.7333333333333336,0.3090909090909091,0.38636363636363635,0.18181818181818182,0.3090909090909091
15,0.7333333333333336,0.3090909090909091,0.38636363636363635,0.18181818181818182,0.3090909090909091
26,0.7333333333333336,0.2545454545454545,0.34146341463414637,0.23636363636363636,0.2545454545454545
20,0.5999999999999999,0.38181818181818183,0.4375,0.10909090909090909,0.38181818181818183
5,0.5999999999999999,0.38181818181818183,0.4375,0.10909090909090909,0.38181818181818183
23,0.5999999999999999,0.38181818181818183,0.4375,0.10909090909090909,0.38181818181818183
8,0.46666666666666656,0.34545454545454546,0.41304347826086957,0.14545454545454545,0.34545454545454546
3,0.46666666666666656,0.41818181818181815,0.46,0.07272727272727272,0.41818181818181815
7,0.46666666666666656,0.4,0.4489795918367347,0.09090909090909091,0.4
14,0.46666666666666656,0.45454545454545453,0.4807692307692308,0.03636363636363636,0.45454545454545453
28,0.46666666666666656,0.34545454545454546,0.41304347826086957,0.14545454545454545,0.34545454545454546
16,0.46666666666666656,0.43636363636363634,0.47058823529411764,0.05454545454545454,0.43636363636363634
11,0.33333333333333326,0.4,0.4489795918367347,0.09090909090909091,0.4
6,0.33333333333333326,0.4,0.4489795918367347,0.09090909090909091,0.4
18,0.33333333333333326,0.43636363636363634,0.47058823529411764,0.05454545454545454,0.43636363636363634
22,0.33333333333333326,0.4,0.4489795918367347,0.09090909090909091,0.4
12,0.33333333333333326,0.38181818181818183,0.4375,0.10909090909090909,0.38181818181818183
9,0.19999999999999996,0.41818181818181815,0.46,0.07272727272727272,0.41818181818181815
27,0.19999999999999996,0.4,0.4489795918367347,0.09090909090909091,0.4
21,0.06666666666666665,0.34545454545454546,0.45652173913043476,0.10909090909090909,0.38181818181818183
