strategy,depth,mean_lp_certainty,mean_persistence,mean_progress,mean_residual_density,mean_active_vertices,mean_local_gain
certainty_first,0,0.0,0.0,0.0,0.42857142857142855,35.0,0.3631466938388654
certainty_first,1,0.15714285714285714,0.23154761904761903,0.029411764705882353,0.41889483065953653,34.0,0.35277224640785465
certainty_first,2,0.20952380952380953,0.30682215743440233,0.0588235294117647,0.4116161616161616,33.0,0.34307633488255496
certainty_first,3,0.20952380952380953,0.3054421768707483,0.08823529411764706,0.4032258064516128,32.0,0.33463675806567156
certainty_first,4,0.24285714285714285,0.34020048420159754,0.11764705882352941,0.3951612903225806,31.0,0.32562248151107637
certainty_first,5,0.2571428571428571,0.3378127969591384,0.14705882352941177,0.38505747126436785,30.0,0.3161650069021393
certainty_first,6,0.2380952380952381,0.30155939298796447,0.17647058823529413,0.3768472906403941,29.0,0.3091785188742593
certainty_first,7,0.2333333333333333,0.2975709475709476,0.2058823529411765,0.36772486772486773,28.0,0.30029616450309726
certainty_first,8,0.25357142857142856,0.32051422619373937,0.23529411764705882,0.3632478632478633,27.0,0.2931825938525285
certainty_first,9,0.2333333333333333,0.2795848595848596,0.2647058823529412,0.36000000000000004,26.0,0.28495641111025727
certainty_first,10,0.2571428571428571,0.2946648411585298,0.29411764705882354,0.355,25.0,0.2795934870684871
certainty_first,11,0.27999999999999997,0.30395408163265303,0.3235294117647059,0.34637681159420286,24.0,0.2720135027010027
certainty_first,12,0.24285714285714285,0.252,0.35294117647058826,0.3359683794466403,23.0,0.2610791623835102
certainty_first,13,0.18571428571428572,0.18571428571428572,0.38235294117647056,0.3246753246753247,22.0,0.2524970862470863
certainty_first,14,0.2,0.19999999999999998,0.4117647058823529,0.3142857142857143,21.0,0.23869013261870412
certainty_first,15,0.21428571428571427,0.21428571428571427,0.4411764705882353,0.30526315789473685,20.0,0.22647211122211122
certainty_first,16,0.22857142857142856,0.22857142857142854,0.47058823529411764,0.2982456140350877,19.0,0.2268324511745565
certainty_first,17,0.24285714285714285,0.24285714285714285,0.5,0.27450980392156865,18.0,0.20524598857932191
certainty_first,18,0.2571428571428571,0.2571428571428571,0.5294117647058824,0.25735294117647056,17.0,0.18915617062675885
certainty_first,19,0.2714285714285714,0.27142857142857146,0.5588235294117647,0.24166666666666667,16.0,0.19407023532023532
certainty_first,20,0.2857142857142857,0.2857142857142857,0.5882352941176471,0.24761904761904763,15.0,0.1848344618344618
most_fractional,0,0.0,0.0,0.0,0.42857142857142855,35.0,0.3631466938388654
most_fractional,1,0.15,0.24662921348314606,0.029411764705882353,0.4206773618538324,34.0,0.3527041004054526
most_fractional,2,0.16666666666666666,0.32458752515090544,0.0588235294117647,0.422979797979798,33.0,0.34937523191193803
most_fractional,3,0.19285714285714284,0.3623187576312576,0.08823529411764706,0.42288306451612906,32.0,0.34566449839303826
most_fractional,4,0.22857142857142856,0.3829555695411885,0.11764705882352941,0.42064516129032264,31.0,0.34065787079471793
most_fractional,5,0.2642857142857143,0.40105376685208616,0.14705882352941177,0.41609195402298854,30.0,0.33393259697723066
most_fractional,6,0.2571428571428571,0.40079047403674267,0.17647058823529413,0.4154351395730706,29.0,0.33096337799084147
most_fractional,7,0.25918367346938775,0.4046437825451105,0.20588235294117643,0.41534391534391535,28.0,0.32796792523246915
most_fractional,8,0.26122448979591834,0.40154316351859876,0.23529411764705885,0.4135124135124135,27.0,0.32321951254454084
most_fractional,9,0.26785714285714285,0.3987103222095968,0.2647058823529412,0.41807692307692307,26.0,0.320141937969862
most_fractional,10,0.26607142857142857,0.38474002804570356,0.29411764705882354,0.42333333333333334,25.0,0.3173428384352146
most_fractional,11,0.29,0.38136695023074785,0.32352941176470595,0.4246376811594203,24.0,0.31189806214525645
most_fractional,12,0.2785714285714286,0.34928908777147255,0.35294117647058826,0.4235836627140975,23.0,0.30669382122740585
most_fractional,13,0.27714285714285714,0.3218967587034814,0.38235294117647056,0.4329004329004329,22.0,0.3060733240396905
most_fractional,14,0.26666666666666666,0.30797091250293224,0.411764705882353,0.41904761904761906,21.0,0.28825350845364117
most_fractional,15,0.24285714285714283,0.28095238095238095,0.4411764705882353,0.41578947368421054,20.0,0.2858917134636949
most_fractional,16,0.2571428571428571,0.2912442396313364,0.47058823529411764,0.40350877192982454,19.0,0.2771845844214265
most_fractional,17,0.2714285714285714,0.30178571428571427,0.5,0.39215686274509803,18.0,0.27548959325275113
most_fractional,18,0.2857142857142857,0.3125541125541126,0.5294117647058824,0.40441176470588236,17.0,0.2783235675573137
most_fractional,19,0.2714285714285714,0.2714285714285714,0.5588235294117647,0.4166666666666667,16.0,0.2793118878562958
most_fractional,20,0.2857142857142857,0.2857142857142857,0.5882352941176471,0.41904761904761906,15.0,0.26676084052399845
mwua_only,0,0.0,0.0,0.0,0.42857142857142855,35.0,0.3631466938388654
mwua_only,1,0.15714285714285714,0.24021164021164018,0.029411764705882353,0.41889483065953653,34.0,0.35277224640785465
mwua_only,2,0.20952380952380953,0.31884220354808596,0.0588235294117647,0.4116161616161616,33.0,0.34307633488255496
mwua_only,3,0.20952380952380953,0.3189255189255189,0.08823529411764706,0.4032258064516128,32.0,0.3346592694254991
mwua_only,4,0.24285714285714285,0.3558273162775013,0.11764705882352941,0.3951612903225806,31.0,0.32562248151107637
mwua_only,5,0.2571428571428571,0.35496463111356724,0.14705882352941177,0.385632183908046,30.0,0.3170733080916905
mwua_only,6,0.2380952380952381,0.31980900761388564,0.17647058823529413,0.3768472906403941,29.0,0.3091785188742593
mwua_only,7,0.22380952380952382,0.31577495863210153,0.2058823529411765,0.3712522045855379,28.0,0.301407722179781
mwua_only,8,0.25357142857142856,0.3438515724527265,0.23529411764705882,0.36467236467236464,27.0,0.29366403265096075
mwua_only,9,0.2571428571428571,0.33815819597069596,0.2647058823529412,0.3607692307692308,26.0,0.2892354561288385
mwua_only,10,0.2642857142857143,0.335762987012987,0.29411764705882354,0.3541666666666667,25.0,0.28006548320960084
mwua_only,11,0.2714285714285714,0.326835572938853,0.3235294117647059,0.34782608695652173,24.0,0.27124504257316756
mwua_only,12,0.2619047619047619,0.2970695970695971,0.35294117647058826,0.3451910408432148,23.0,0.27066370827240394
mwua_only,13,0.2714285714285714,0.2942716049382716,0.38235294117647056,0.3376623376623377,22.0,0.26256934984207714
mwua_only,14,0.25,0.2571428571428571,0.4117647058823529,0.3380952380952381,21.0,0.25986045700331417
