var,mwua_certainty,frac_freq,stability,fix1_freq,fix0_freq
2,1.0,0.043478260869565216,0.8750000000000001,0.6086956521739131,0.043478260869565216
11,0.8461538461538465,0.13043478260869565,0.6666666666666666,0.5217391304347826,0.13043478260869565
8,0.8461538461538465,0.08695652173913043,0.7647058823529411,0.5652173913043478,0.08695652173913043
9,0.3846153846153848,0.43478260869565216,0.4,0.21739130434782608,0.43478260869565216
10,0.3846153846153848,0.5217391304347826,0.4814814814814815,0.08695652173913043,0.5652173913043478
0,0.3846153846153848,0.4782608695652174,0.46153846153846145,0.13043478260869565,0.5217391304347826
14,0.3846153846153848,0.17391304347826086,0.5789473684210527,0.4782608695652174,0.17391304347826086
16,0.3846153846153848,0.391304347826087,0.4166666666666667,0.21739130434782608,0.43478260869565216
17,0.3846153846153848,0.21739130434782608,0.44999999999999996,0.391304347826087,0.2608695652173913
7,0.37581364044497345,0.2608695652173913,0.5238095238095238,0.17391304347826086,0.4782608695652174
12,0.23364527614342756,0.43478260869565216,0.4,0.21739130434782608,0.43478260869565216
18,0.23076923076923084,0.391304347826087,0.5833333333333333,0.043478260869565216,0.6086956521739131
5,0.23076923076923084,0.4782608695652174,0.423076923076923,0.17391304347826086,0.4782608695652174
4,0.23076923076923084,0.5217391304347826,0.4444444444444445,0.13043478260869565,0.5217391304347826
3,0.23076923076923084,0.391304347826087,0.375,0.2608695652173913,0.391304347826087
15,0.0828487757192915,0.43478260869565216,0.4,0.21739130434782608,0.43478260869565216
6,0.07692307692307687,0.5652173913043478,0.5,0.043478260869565216,0.6086956521739131
1,0.07692307692307687,0.5652173913043478,0.5,0.043478260869565216,0.6086956521739131
19,0.07692307692307687,0.5652173913043478,0.5,0.043478260869565216,0.6086956521739131
13,0.07692307692307676,0.5217391304347826,0.5185185185185186,0.043478260869565216,0.6086956521739131
