n,trial,reductions,explored,time_s,prune_rate,reduction_fixes
15,0,on,9,0.017280,0.4444,27
15,0,off,9,0.011974,0.4444,0
15,1,on,19,0.028865,0.4737,36
15,1,off,19,0.021729,0.4737,0
15,2,on,15,0.024990,0.4667,36
15,2,off,15,0.016673,0.4667,0
20,0,on,13,0.024590,0.4615,35
20,0,off,13,0.018013,0.4615,0
20,1,on,13,0.022308,0.4615,51
20,1,off,13,0.015925,0.4615,0
20,2,on,17,0.031029,0.4118,41
20,2,off,17,0.022220,0.4118,0
